Question,Type,CorrectAnswer,Option1,Option2,Option3,Option4
What is the capital of France?,single-choice,Paris,Paris,London,Berlin,Madrid
The Statue of Liberty is located in New York,true-false,true,true,false,,
Complete the sentence: I ___ to the store yesterday,fill-blank,went,went,am going,have gone,was going
Which word means to speak in a worried or frightened way?,single-choice,stammer,stammer,whisper,shout,mumble
Translate to English: Он очень умный,essay,He is very smart,He is very smart,,,
Shakespeare wrote Romeo and Juliet,true-false,true,true,false,,
Choose the correct phrase,single-choice,I have been living here for 5 years,I have been living here for 5 years,I am living here for 5 years,I have lived here since 5 years,I live here since 5 years
What does the abbreviation PhD stand for?,single-choice,Doctor of Philosophy,Doctor of Philosophy,Professional Home Design,Personal Health Degree,Public Health Degree
The Amazon Rainforest produces about 20% of the world's oxygen,true-false,true,true,false,,
Complete: If I had known about the party,...,fill-blank,I would have gone,I would have gone,I will go,I would go,I went
