Question,Type,CorrectAnswer,Option1,Option2,Option3,Option4
"«Тарих» (Historia) термині қай сөзден шыққан?",single-choice,"«Ақпарат» немесе «зерттеу» деген мағынаны білдіретін грек сөзінен","«Уақыт» деген мағынаны білдіретін латын сөзінен","«Ақпарат» немесе «зерттеу» деген мағынаны білдіретін грек сөзінен","«Өткен» деген мағынаны білдіретін араб сөзінен","«Кітап» деген мағынаны білдіретін түркі сөзінен"
"Қазақстан тарихын дәуірлеуде Түркі кезеңі қай аралықты қамтиды?",single-choice,"6 ғасырдан 13 ғасырдың басына дейін","Б.з.б. 8 ғасырдан б.з. 5 ғасырына дейін","6 ғасырдан 13 ғасырдың басына дейін","13 ғасырдан 15 ғасырға дейін","1731 жылдан 1917 жылға дейін"
"Номадизм дегеніміз не?",single-choice,"Адамдардың су мен жайылым үшін бір орында тұрақтамай, көшіп-қону өмір салты","Жетілген егіншілігі бар отырықшы өмір салты","Адамдардың су мен жайылым үшін бір орында тұрақтамай, көшіп-қону өмір салты","Ортағасырлық Қазақстандағы діни ағым","Ерте мемлекеттердегі басқару формасы"
"Темір дәуіріндегі «әскери демократияға» қандай белгі тән?",single-choice,"Соғыс тұрақты кәсіпке және байыту көзіне айналады","Билік ешкімді алаламай бүкіл халыққа тиесілі болады","Соғыс тұрақты кәсіпке және байыту көзіне айналады","Көсемдер мен басшылардың мүлдем болмауы","Сыртқы саясаттың бейбіт сипаты"
"552 жылы Түрік қағанатының негізін кім қалады?",single-choice,"Бумын","Иштеми","Мұқан","Бумын","Білге"
"«Түрік» этнонимі алғаш рет қай тарихи деректерде кездеседі (542 ж.)?",single-choice,"Қытай деректерінде","Қытай деректерінде","Парсы деректерінде","Араб деректерінде","Византия деректерінде"
"Орталық Азияны жаулап алғаннан кейін түріктер қай сауда жолын бақылауға алды?",single-choice,"Ұлы Жібек жолы","Ұлы Жібек жолы","«Варягтардан гректерге» дейінгі жол","Янтарь жолы","Лазурит жолы"
"Түрік қағанаты қай жылы ыдырады?",single-choice,"603 ж.","552 ж.","587 ж.","603 ж.","704 ж."
"Шыңғыс ханның шын есімі кім болған?",single-choice,"Темучин","Жошы","Темучин","Бату","Төле"
"1206 жылы қандай оқиға болды?",single-choice,"Темучин Шыңғыс хан болып жарияланды","Наймандардың талқандалуы","Темучин Шыңғыс хан болып жарияланды","Қытайдың жаулап алынуы","Отырар қоршауы"
"Шыңғыс ханның сауда керуенін қырғынға ұшыратқан Отырар билеушісі кім?",single-choice,"Қайыр хан","Мұхаммед Шах","Қайыр хан","Күшлік","Жебе"
"Жошы ұлысына қандай аумақ кірді?",single-choice,"Дешті Қыпшақ (Ертістен Еуропаға дейін)","Мавераннахр мен Жетісу","Батыс Моңғолия мен Алтай","Дешті Қыпшақ (Ертістен Еуропаға дейін)","Шығыс Түркістан"
"Алтын Орданың (Ұлық Ұлыс) негізін қалаушы кім?",single-choice,"Бату","Шыңғыс хан","Берке","Бату","Өзбек"
"Қай ханның тұсында ислам Алтын Орданың мемлекеттік діні болып жарияланды?",single-choice,"Өзбек хан","Бату","Берке","Өзбек хан","Тоқтамыс"
"Ақ Орданың астанасы қай қала болды?",single-choice,"Сығанақ","Сарай-Бату","Сығанақ","Сарайшық","Отырар"
"14 ғасырдың ортасында Шағатай ұлысының ыдырауы нәтижесінде қандай мемлекет құрылды?",single-choice,"Моғолстан","Ноғай Ордасы","Сібір хандығы","Моғолстан","Қазан хандығы"
