question,type,option1,option2,option3,option4,correctAnswer
"От какого слова происходит термин «История» (Historia)?","single-choice","Латинского слова, означающего «время»","Греческого слова, означающего «информация» или «исследование»","Арабского слова, означающего «прошлое»","Тюркского слова, означающего «книга»","Греческого слова, означающего «информация» или «исследование»"
"Какой период охватывает Тюркский период в периодизации истории Казахстана?","single-choice","С 8 века до н.э. по 5 век н.э.","С 6 по начало 13 века","С 13 по 15 века","С 1731 по 1917 год","С 6 по начало 13 века"
"Что такое номадизм?","single-choice","Оседлый образ жизни с развитым земледелием","Образ жизни, при котором люди не остаются на одном месте, перемещаясь ради воды и пастбищ","Религиозное течение в средневековом Казахстане","Форма правления в ранних государствах","Образ жизни, при котором люди не остаются на одном месте, перемещаясь ради воды и пастбищ"
"Какая черта характерна для «военной демократии» Железного века?","single-choice","Власть принадлежит всему народу без исключения","Война становится постоянным промыслом и источником обогащения","Полное отсутствие вождей и предводителей","Мирный характер внешней политики","Война становится постоянным промыслом и источником обогащения"
"Кто был основателем Тюркского каганата в 552 году?","single-choice","Иштеми","Мукан","Бумын","Бильге","Бумын"
"В каких исторических источниках впервые упоминается этноним «тюрк» (542 г.)?","single-choice","Китайских","Персидских","Арабских","Византийских","Китайских"
"Какой торговый маршрут контролировали тюрки после завоевания Средней Азии?","single-choice","Великий Шелковый путь","Путь «из варяг в греки»","Янтарный путь","Лазуритовый путь","Великий Шелковый путь"
"В каком году распался Тюркский каганат?","single-choice","552 г.","587 г.","603 г.","704 г.","603 г."
"Какое настоящее имя было у Чингисхана?","single-choice","Джучи","Темучин","Бату","Толе","Темучин"
"Какое событие произошло в 1206 году?","single-choice","Разгром найманов","Провозглашение Темучина Чингисханом","Завоевание Китая","Осада Отрара","Провозглашение Темучина Чингисханом"
"Кто был правителем Отрара, уничтожившим торговый караван Чингисхана?","single-choice","Мухаммед Шах","Каир хан","Кучлук","Джебе","Каир хан"
"Какая территория входила в Улус Джучи?","single-choice","Мавераннахр и Семиречье","Западная Монголия и Алтай","Дешт-и-Кипчак (от Иртыша до Европы)","Восточный Туркестан","Дешт-и-Кипчак (от Иртыша до Европы)"
"Кто является основателем Золотой Орды (Улуг Улуса)?","single-choice","Чингисхан","Берке","Бату","Узбек","Бату"
"При каком хане ислам был провозглашен государственной религией Золотой Орды?","single-choice","При Бату","При Берке","При Узбеке","При Тохтамыше","При Узбеке"
"Какой город был столицей Ак Орды (Белой Орды)?","single-choice","Сарай-Бату","Сыганак","Сарайчик","Отрар","Сыганак"
"Какое государство образовалось в результате распада Чагатайского улуса в середине XIV века?","single-choice","Ногайская Орда","Сибирское ханство","Могулистан","Казанское ханство","Могулистан"
"Кто был правителем Ногайской Орды, который фактически управлял ею в течение 15 лет в статусе эмира?","single-choice","Едиге","Муса","Тохтамыш","Урус хан","Едиге"
"Где находилась столица Ногайской Орды?","single-choice","Сыганак","Туркестан","Сарайчик","Тараз","Сарайчик"
"Кто одержал победу над ханом Абулхаиром в 1457 году?","single-choice","Ойраты","Тимуриды","Китайцы","Русские княжества","Ойраты"
"Кто возглавил откочевку племен от хана Абулхаира, что привело к образованию Казахского ханства?","single-choice","Касым и Хакназар","Керей и Жанибек","Есим и Тауке","Аблай и Абулхаир","Керей и Жанибек"
"Правитель какого государства предоставил земли Керею и Жанибеку в Западном Семиречье?","single-choice","Золотая Орда","Государство Тимуридов","Могулистан (Есен-Буга)","Ногайская Орда","Могулистан (Есен-Буга)"
"Какое значение имеет слово «Казах» согласно лекции?","single-choice","Воин","Кочевник","Свободный, отделившийся","Земледелец","Свободный, отделившийся"
"К какому периоду Мухаммед Хайдар Дулати относит образование Казахского ханства?","single-choice","1219-1220 гг.","1380-1390 гг.","1465-1466 гг.","1511-1520 гг.","1465-1466 гг."
"Кто стал ханом Казахского ханства в 1480 году (сын Керея)?","single-choice","Касым","Бурундук","Тахир","Шыгай","Бурундук"
"В какие годы правил хан Касым?","single-choice","1456–1473","1480–1511","1511–1518","1538–1580","1511–1518"
"Кто относился к сословию «Ак суек» (белая кость) в Казахском ханстве?","single-choice","Бии и батыры","Чингизиды (ханы, султаны)","Простые кочевники","Ремесленники","Чингизиды (ханы, султаны)"
"Что такое «тагар» в налоговой системе ханства?","single-choice","Налог с души","Земельный налог","Налог для снабжения войск продовольствием","Торговая пошлина","Налог для снабжения войск продовольствием"
"Какие племена входили в состав Среднего жуза?","single-choice","Дулаты, Уйсуни, Жалайыры","Аргыны, Найманы, Кыпчаки, Кереи","Алимулы, Байулы, Жетыру","Адаи, Табыны, Тама","Аргыны, Найманы, Кыпчаки, Кереи"
"Где территориально располагался Младший жуз?","single-choice","Семиречье","Центральный и Восточный Казахстан","Западный Казахстан (между Уралом и Волгой)","Южный Казахстан","Западный Казахстан (между Уралом и Волгой)"
"Какой период этногенеза казахского народа характеризуется влиянием «Великого переселения народов» и появлением монголоидных черт?","single-choice","Эпоха бронзы","Период гуннов","Тюркский период","Период Казахского ханства","Период гуннов"
