Question,Type,CorrectAnswer,Option1,Option2,Option3,Option4
"От какого слова происходит термин «История» (Historia)?",single-choice,"Греческого слова, означающего «информация» или «исследование»","Латинского слова, означающего «время»","Греческого слова, означающего «информация» или «исследование»","Арабского слова, означающего «прошлое»","Тюркского слова, означающего «книга»"
"Какой период охватывает Тюркский период в периодизации истории Казахстана?",single-choice,"С 6 по начало 13 века","С 8 века до н.э. по 5 век н.э.","С 6 по начало 13 века","С 13 по 15 века","С 1731 по 1917 год"
"Что такое номадизм?",single-choice,"Образ жизни, при котором люди не остаются на одном месте, перемещаясь ради воды и пастбищ","Оседлый образ жизни с развитым земледелием","Образ жизни, при котором люди не остаются на одном месте, перемещаясь ради воды и пастбищ","Религиозное течение в средневековом Казахстане","Форма правления в ранних государствах"
"Какая черта характерна для «военной демократии» Железного века?",single-choice,"Война становится постоянным промыслом и источником обогащения","Власть принадлежит всему народу без исключения","Война становится постоянным промыслом и источником обогащения","Полное отсутствие вождей и предводителей","Мирный характер внешней политики"
"Кто был основателем Тюркского каганата в 552 году?",single-choice,"Бумын",Иштеми,Мукан,Бумын,Бильге
"В каких исторических источниках впервые упоминается этноним «тюрк» (542 г.)?",single-choice,Китайских,Китайских,Персидских,Арабских,Византийских
"Какой торговый маршрут контролировали тюрки после завоевания Средней Азии?",single-choice,"Великий Шелковый путь","Великий Шелковый путь","Путь «из варяг в греки»","Янтарный путь","Лазуритовый путь"
"В каком году распался Тюркский каганат?",single-choice,"603 г.","552 г.","587 г.","603 г.","704 г."
"Какое настоящее имя было у Чингисхана?",single-choice,Темучин,Джучи,Темучин,Бату,Толе
"Какое событие произошло в 1206 году?",single-choice,"Провозглашение Темучина Чингисханом","Разгром найманов","Провозглашение Темучина Чингисханом","Завоевание Китая","Осада Отрара"
"Кто был правителем Отрара, уничтожившим торговый караван Чингисхана?",single-choice,"Каир хан","Мухаммед Шах","Каир хан",Кучлук,Джебе
"Какая территория входила в Улус Джучи?",single-choice,"Дешт-и-Кипчак (от Иртыша до Европы)","Мавераннахр и Семиречье","Западная Монголия и Алтай","Дешт-и-Кипчак (от Иртыша до Европы)","Восточный Туркестан"
"Кто является основателем Золотой Орды (Улуг Улуса)?",single-choice,Бату,Чингисхан,Берке,Бату,Узбек
"При каком хане ислам был провозглашен государственной религией Золотой Орды?",single-choice,"При Узбеке","При Бату","При Берке","При Узбеке","При Тохтамыше"
"Какой город был столицей Ак Орды (Белой Орды)?",single-choice,Сыганак,Сарай-Бату,Сыганак,Сарайчик,Отрар
"Какое государство образовалось в результате распада Чагатайского улуса в середине XIV века?",single-choice,Могулистан,"Ногайская Орда","Сибирское ханство",Могулистан,"Казанское ханство"
"Кто был правителем Ногайской Орды, который фактически управлял ею в течение 15 лет в статусе эмира?",single-choice,Едиге,Едиге,Муса,Тохтамыш,"Урус хан"
"Где находилась столица Ногайской Орды?",single-choice,Сарайчик,Сыганак,Туркестан,Сарайчик,Тараз
"Кто одержал победу над ханом Абулхаиром в 1457 году?",single-choice,Ойраты,Ойраты,Тимуриды,Китайцы,"Русские княжества"
"Кто возглавил откочевку племен от хана Абулхаира, что привело к образованию Казахского ханства?",single-choice,"Керей и Жанибек","Касым и Хакназар","Керей и Жанибек","Есим и Тауке","Аблай и Абулхаир"
"Правитель какого государства предоставил земли Керею и Жанибеку в Западном Семиречье?",single-choice,"Могулистан (Есен-Буга)","Золотая Орда","Государство Тимуридов","Могулистан (Есен-Буга)","Ногайская Орда"
"Какое значение имеет слово «Казах» согласно лекции?",single-choice,"Свободный, отделившийся",Воин,Кочевник,"Свободный, отделившийся",Земледелец
"К какому периоду Мухаммед Хайдар Дулати относит образование Казахского ханства?",single-choice,"1465-1466 гг.","1219-1220 гг.","1380-1390 гг.","1465-1466 гг.","1511-1520 гг."
"Кто стал ханом Казахского ханства в 1480 году (сын Керея)?",single-choice,Бурундук,Касым,Бурундук,Тахир,Шыгай
"В какие годы правил хан Касым?",single-choice,"1511–1518","1456–1473","1480–1511","1511–1518","1538–1580"
"Кто относился к сословию «Ак суек» (белая кость) в Казахском ханстве?",single-choice,"Чингизиды (ханы, султаны)","Бии и батыры","Чингизиды (ханы, султаны)","Простые кочевники",Ремесленники
"Что такое «тагар» в налоговой системе ханства?",single-choice,"Налог для снабжения войск продовольствием","Налог с души","Земельный налог","Налог для снабжения войск продовольствием","Торговая пошлина"
"Какие племена входили в состав Среднего жуза?",single-choice,"Аргыны, Найманы, Кыпчаки, Кереи","Дулаты, Уйсуни, Жалайыры","Аргыны, Найманы, Кыпчаки, Кереи","Алимулы, Байулы, Жетыру","Адаи, Табыны, Тама"
"Где территориально располагался Младший жуз?",single-choice,"Западный Казахстан (между Уралом и Волгой)",Семиречье,"Центральный и Восточный Казахстан","Западный Казахстан (между Уралом и Волгой)","Южный Казахстан"
"Какой период этногенеза казахского народа характеризуется влиянием «Великого переселения народов» и появлением монголоидных черт?",single-choice,"Период гуннов","Эпоха бронзы","Период гуннов","Тюркский период","Период Казахского ханства"
