Question,Type,CorrectAnswer,Option1,Option2,Option3,Option4
"From which word does the term “History” (Historia) originate?",single-choice,"Greek word meaning 'information' or 'inquiry'","Latin word meaning 'time'","Greek word meaning 'information' or 'inquiry'","Arabic word meaning 'past'","Turkic word meaning 'book'"
"Which period does the Turkic period cover in the periodization of Kazakhstan's history?",single-choice,"From the 6th to the early 13th centuries","From the 8th century BC to the 5th century AD","From the 6th to the early 13th centuries","From the 13th to the 15th centuries","From 1731 to 1917"
"What is nomadism?",single-choice,"A way of life where people move from place to place for food and water","A sedentary lifestyle with developed agriculture","A way of life where people move from place to place for food and water","A religious movement in medieval Kazakhstan","A form of government in early states"
"What is a main attribute of 'military democracy' in the Iron Age?",single-choice,"War becomes a permanent trade and source of enrichment","Power belongs to the whole people without exception","War becomes a permanent trade and source of enrichment","Complete absence of chiefs and leaders","Peaceful nature of foreign policy"
"Who was the founder of the Turkic Khaganate in 552?",single-choice,"Bumin","Istemi","Muqan","Bumin","Bilge"
"In which historical sources was the ethnonym 'Turk' first mentioned (542)?",single-choice,"Chinese sources","Chinese sources","Persian sources","Arabic sources","Byzantine sources"
"Which trade route did the Turks control after the conquest of Central Asia?",single-choice,"The Silk Road","The Silk Road","The route 'from the Varangians to the Greeks'","The Amber Road","The Lapis Lazuli Route"
"In what year did the Turkic Khaganate collapse?",single-choice,"603","552","587","603","704"
"What was the real name of Genghis Khan?",single-choice,"Temuchin","Jochi","Temuchin","Batu","Tole"
"What event happened in 1206?",single-choice,"Temuchin was proclaimed Genghis Khan","Defeat of the Naimans","Temuchin was proclaimed Genghis Khan","Conquest of China","Siege of Otrar"
"Who was the ruler of Otrar who destroyed Genghis Khan's trade caravan?",single-choice,"Kair Khan","Mohammed Shah","Kair Khan","Kuchluk","Jebe"
"What territory was included in the Ulus of Jochi?",single-choice,"Desht-i Kipchak (from Irtysh to Europe)","Mawrennahr and Semirechye","Western Mongolia and Altai","Desht-i Kipchak (from Irtysh to Europe)","East Turkestan"
"Who is the founder of the Golden Horde (Ulug Ulus)?",single-choice,"Batu","Genghis Khan","Berke","Batu","Uzbek"
"Under which Khan was Islam proclaimed the state religion of the Golden Horde?",single-choice,"Uzbek","Batu","Berke","Uzbek","Tokhtamys"
"Which city was the capital of the Ak Orda (White Horde)?",single-choice,"Syganak","Sarai-Batu","Syganak","Saraichik","Otrar"
"Which state was formed as a result of the collapse of the Chagatai Ulus in the mid-14th century?",single-choice,"Moghulistan","Nogai Horde","Khanate of Sibir","Moghulistan","Kazan Khanate"
"Who was the ruler of the Nogai Horde who practically ruled it for 15 years as an emir?",single-choice,"Yedige","Yedige","Musa","Tokhtamys","Urus Khan"
"Where was the capital of the Nogai Horde located?",single-choice,"Saraichik","Syganak","Turkestan","Saraichik","Taraz"
"Who defeated Abulkhair Khan in 1457?",single-choice,"The Oirats","The Oirats","The Timurids","The Chinese","The Russian principalities"
"Who led the migration of tribes from Abulkhair Khan, leading to the formation of the Kazakh Khanate?",single-choice,"Kerei and Janibek","Kasym and Haqnazar","Kerei and Janibek","Esim and Tauke","Ablai and Abulkhair"
"The ruler of which state provided lands to Kerei and Janibek in Western Semirechye?",single-choice,"Moghulistan (Esen-Buga)","Golden Horde","Timurid State","Moghulistan (Esen-Buga)","Nogai Horde"
"What is the meaning of the word 'Kazakh' according to the lecture?",single-choice,"'Unrestricted', 'free', 'separated'","'Warrior'","'Nomad'","'Unrestricted', 'free', 'separated'","'Farmer'"
"To which period does Mohammed Khaidar Dulati refer the formation of the Kazakh Khanate?",single-choice,"1465-1466","1219-1220","1380-1390","1465-1466","1511-1520"
"Who became the Khan of the Kazakh Khanate in 1480 (son of Kerei)?",single-choice,"Burundyk","Kasym","Burundyk","Tahir","Shygai"
"In what years did Kasym Khan rule?",single-choice,"1511–1518","1456–1473","1480–1511","1511–1518","1538–1580"
"Who belonged to the 'Ak suyek' (white bone) class in the Kazakh Khanate?",single-choice,"Genghisides (Khans, sultans)","Biys and batyrs","Genghisides (Khans, sultans)","Common nomads","Artisans"
"What is 'tagar' in the tax system of the Khanate?",single-choice,"A tax to provide troops with food","Soul tax","Land tax","A tax to provide troops with food","Trade duty"
"Which tribes were part of the Middle Zhuz?",single-choice,"Argyns, Naimans, Kypchaks, Kereis","Dulats, Uysuns, Jalairs","Argyns, Naimans, Kypchaks, Kereis","Alimuly, Baiuls, Zhetyru","Adais, Tabyns, Tama"
"Where was the Junior Zhuz territorially located?",single-choice,"Western Kazakhstan (between the Urals and the Volga)","Semirechye","Central and Eastern Kazakhstan","Western Kazakhstan (between the Urals and the Volga)","Southern Kazakhstan"
"Which period of the ethnogenesis of the Kazakh people is characterized by the influence of the 'Great Migration' and the appearance of Mongoloid features?",single-choice,"Huns period","Bronze Age","Huns period","Turkic period","Kazakh Khanate period"
